,Estandar
1185,Samsung A32
1186,Samsung A72
1187,Samsung A04
1188,Samsung Z Flip 4
1189,Samsung A10S
1190,Samsung A53
1191,Samsung A52
1192,Samsung S20 Plus
1193,Samsung A12
1194,Samsung S10
1195,Samsung A20S
1196,Samsung A04
1197,Samsung S21 Ultra
1198,Samsung A33
1199,Samsung S20
1200,Samsung A50
1201,Samsung S22 Ultra
1202,Samsung A21S
1203,Samsung S21 Fe
1204,Samsung A10
1205,Samsung S20
1206,Samsung A01
1207,Samsung A20S
1208,Samsung A52
1209,Samsung A10S
1210,Samsung S20
1211,Samsung Z Flip 3
1212,Samsung S22
1213,Samsung A20S
1214,Samsung A53
1215,Samsung S22
1216,Samsung A11
1217,Samsung A12
1218,Samsung A32
1219,Samsung S20 Fe
1220,Samsung A71
1221,Samsung A51
1222,Samsung A13
1223,Samsung A31
1224,Samsung A71
1225,Samsung A10
1226,Samsung A30
1227,Samsung Z Flip 3
1228,Samsung S10 Plus
1229,Samsung A03
1230,Samsung S22 Plus
1231,Samsung A04
1232,Samsung A10
1233,Samsung A51
1234,Samsung A03
1235,Samsung S22 Ultra
1236,Samsung A04
1237,Samsung S20 Ultra
1238,Samsung A10
1239,Samsung A52
1240,Samsung A71
1241,Samsung A10S
1242,Samsung S20 Plus
1243,Samsung A30S
1244,Samsung A11
1245,Samsung S22 Ultra
1246,Samsung A04S
1247,Samsung Note 10
1248,Samsung A02S
1249,Samsung S21 Fe
1250,Samsung A30S
1251,Samsung Z Flip
1252,Samsung A12
1253,Samsung S10
1254,Samsung A20S
1255,Samsung A20S
1256,Samsung A11
1257,Samsung S10
1258,Samsung A23
1259,Samsung A21S
1260,Samsung A50
1261,Samsung A72
1262,Samsung A04
1263,Samsung A30S
1264,Samsung A51
1265,Samsung S21 Fe
1266,Samsung Note 10 Plus
1267,Samsung S10
1268,Samsung S20 Plus
1269,Samsung S21 Ultra
1270,Samsung A32
1271,Samsung A21S
1272,Samsung A04
1273,Samsung A11
1274,Samsung A32
1275,Samsung A22
1276,Samsung A04
