titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Oferta huawei,120000,22-05-2023,23:07:27,"Lo Prado, Región Metropolitana"
Reloj huawei gt watch runner,90000,21-05-2023,21:42:05,"Las Condes, Región Metropolitana"
Huawei p30 ,300000,21-05-2023,18:33:50,"Maipú, Región Metropolitana"
Huawei P30 Pro (usado) Con Android,110000,21-05-2023,12:52:33,"Lo Barnechea, Región Metropolitana"
Huawei y9a,85000,20-05-2023,21:49:38,"Quilicura, Región Metropolitana"
Smartwatch Huawei,160000,20-05-2023,16:46:07,"Maipú, Región Metropolitana"
Huawei Nova 9,120000,20-05-2023,16:39:35,"Maipú, Región Metropolitana"
Huawei Mate 10 pro 6GB/128GB/Dual SIM,90000,20-05-2023,14:35:19,"Santiago, Región Metropolitana"
Huawei Band 7,45000,19-05-2023,23:47:39,"Conchalí, Región Metropolitana"
Huawei p20 lite,100000,19-05-2023,13:39:45,"Santiago, Región Metropolitana"
Huawei mate 20 Lite dorado,70000,18-05-2023,22:16:57,"La Florida, Región Metropolitana"
Reloj HUAWEI Band 7,35000,18-05-2023,22:05:25,"San Joaquín, Región Metropolitana"
Celular Huawei P30 Lite Semi Nuevo,75000,17-05-2023,14:24:06,"Santiago, Región Metropolitana"
Huawei nova 8i 128 gb 6 de ram,150000,16-05-2023,04:20:14,"Santiago, Región Metropolitana"
Celular Huawei Y9a,120000,15-05-2023,16:03:24,"Maipú, Región Metropolitana"
